OBJECTID;SUID;SU_Count;SU_ModCount;SU_Row;SU_Line;SU_RInt;SU_LInt;SU_LU;SU_AgrCond;SU_Pass;SU_Vis;Strategy;AncientCount;SU_Sample;SU_Diag;SU_Frag;SU_Wear;SU_AC;SU_Daub;SU_HM;SU_Lithic;SU_Notes;SU_Date;Shape_Length;Shape_Area
1;61400;53;38;5;6;15;15;1;3;1;5;1;15;1;0;4;4;1;0;0;0;;;346.254382418254010;7468.627992855728700
2;61401;33;33;6;6;15;15;1;3;1;5;1;0;0;0;4;2;1;0;0;0;;;367.228253142699090;8860.740725775038300
3;61402;46;45;5;6;15;15;1;3;1;5;1;1;1;0;3;4;1;0;0;0;;;377.883572244643800;9025.932926182258600
4;61403;36;36;5;6;15;15;1;3;1;5;1;0;0;0;4;3;1;0;0;0;;;388.908534943175650;9116.011008259680200
5;61404;24;23;5;6;15;15;1;3;1;5;1;1;1;0;5;4;1;0;0;0;;;381.892202797714390;8714.216778376854600
6;61405;27;19;5;6;15;15;1;3;1;5;1;8;1;0;3;3;1;0;0;0;;;378.146230899912100;8523.583473932047100
7;61406;38;36;5;6;15;15;1;3;1;5;1;2;1;0;4;3;1;0;0;0;;;391.797250811171010;9102.096658536051100
8;61407;63;61;5;6;15;15;1;3;1;5;1;2;0;0;4;3;1;0;0;0;;;413.581565870039750;9962.661777959718200
9;61408;142;127;5;6;15;15;1;3;1;5;1;15;1;0;4;3;0;0;0;0;;;409.829418092425730;9626.789797449273500
10;61409;40;38;5;6;15;15;1;3;1;5;1;2;0;0;3;3;0;0;0;0;;;432.818320056332080;11292.253493199660000
11;61410;20;18;5;6;15;15;1;3;1;5;1;2;0;0;3;3;0;0;0;0;;;446.461866993545530;12368.692525208680000
12;61411;10;9;5;6;15;15;1;3;1;5;1;1;0;0;3;4;0;0;0;0;;;427.369268533791800;11151.415130871086000
13;61412;12;11;7;6;15;15;1;1;1;5;1;1;1;0;3;4;0;0;0;0;;;380.948042842062700;8907.956582820010200
14;61413;16;16;5;6;15;15;1;1;1;5;1;0;0;0;3;4;0;0;0;0;;;371.136001247714550;8163.674944138092500
15;61414;8;7;5;6;15;15;1;1;1;5;1;1;0;0;3;3;0;0;0;0;;;378.751019634419380;8561.328038996187400
16;61415;11;10;6;6;15;15;1;1;1;5;1;1;0;0;3;3;1;0;0;0;;;390.918957108268160;9186.698032531539900
17;61416;9;9;5;6;15;15;1;8;1;3;1;0;1;0;3;3;1;0;0;0;;;409.095694025641250;10275.094026411889000
18;61417;49;47;5;6;15;15;1;8;1;5;1;2;0;0;3;4;0;0;0;0;;;381.897968602993330;8728.022146170813400
19;61418;77;60;5;6;15;15;1;3;1;5;1;17;1;0;3;4;0;0;0;0;;;416.743143648290580;10592.417552975625000
20;61419;62;51;5;6;15;15;1;3;1;5;1;11;1;0;3;3;0;0;0;0;;;426.545446508838210;10960.520927942820000
21;61420;29;15;5;6;15;15;1;3;1;5;1;14;0;0;3;4;1;0;0;1;;;441.943565677354850;11816.627553363325000
22;61421;29;25;5;6;15;15;1;3;1;5;1;4;0;0;4;4;0;0;0;0;;;442.334941910262390;11773.304979461351000
23;61422;26;26;5;6;15;15;1;3;1;5;1;0;0;0;3;3;1;0;0;0;;;425.878947996134800;10879.796452698774000
24;61423;21;21;4;6;15;15;1;3;1;5;1;0;0;0;3;4;0;0;0;0;;;351.586170343210940;6568.244932782154100
25;61424;13;11;5;5;15;15;1;3;1;5;1;2;0;0;5;3;1;0;0;0;;;356.793594032433020;7717.747804110842500
26;61425;15;9;5;5;15;15;1;3;1;5;1;6;1;0;5;4;1;0;0;1;;;381.900984642880020;9077.802185461172500
27;61426;14;10;5;5;15;15;1;3;1;5;1;4;0;0;4;3;1;0;0;0;;;324.235602976616010;6622.227321566708300
28;61427;10;7;5;5;15;15;1;3;1;5;1;3;0;0;5;3;1;0;0;0;;;324.532075542481780;6510.226915974531900
29;61428;0;0;5;5;15;15;1;1;1;5;1;0;0;0;4;3;0;0;0;0;;;325.223871665534720;6489.282222080864800
30;61429;1;1;5;5;15;15;1;1;1;5;1;0;0;0;3;4;0;0;0;0;;;376.720576414197350;8814.502134585025500
31;61430;14;10;6;5;15;15;1;3;1;5;1;4;0;0;5;4;0;0;0;0;;;383.320068868458520;9167.838463241234400
32;61431;12;11;5;5;15;15;1;1;1;5;1;1;0;0;5;4;0;0;0;0;;;387.714939324749250;9387.857644271282000
33;61432;0;0;5;5;15;15;1;1;1;5;1;0;0;0;4;3;0;0;0;1;;;371.163543778717210;8526.355593157346400
34;61433;16;10;6;5;15;15;1;1;1;5;1;6;0;0;4;3;1;0;0;0;;;383.313055878561730;9106.274148053722500
35;61434;20;7;5;5;15;15;1;1;1;5;1;13;0;0;4;3;1;0;0;0;;;319.995567570696320;6389.962375787439700
36;61435;9;8;5;5;15;15;1;1;1;5;1;1;0;0;4;4;1;0;0;0;;;321.256097477609500;6442.933938655556600
37;61436;14;11;5;5;15;15;1;1;1;5;1;3;0;0;4;3;1;0;0;0;;;335.548326285418850;7035.362394116502400
38;61437;9;7;5;5;15;15;1;1;1;5;1;2;0;0;4;4;1;0;0;0;;;309.262166387085410;5904.361946714296200
39;61438;22;9;5;5;15;15;1;3;1;5;1;13;0;0;5;4;1;0;1;0;;;333.749278765212860;6959.081082687516800
40;61439;11;1;5;5;15;15;1;3;1;5;1;10;1;0;4;3;0;0;0;0;;;308.737215446420690;5863.250091812608800
41;61440;13;11;5;5;15;15;1;1;1;5;1;2;0;0;4;4;1;0;0;0;;;324.267032639028510;6522.747281928834100
42;61441;31;26;5;5;15;15;1;3;1;5;1;5;0;0;5;4;1;0;0;0;;;297.753099102697720;5458.728571893087100
43;61442;6;3;5;5;15;15;1;3;1;5;1;3;0;0;4;3;0;0;0;0;;;309.752205041790210;5973.269669872981500
44;61443;10;8;5;5;15;15;1;3;1;5;1;2;0;0;4;3;1;0;0;0;;;328.937511391290850;6757.041639212212400
45;61444;35;35;6;5;15;15;1;3;1;5;1;0;0;0;4;3;1;0;0;0;;;323.398047110381640;6509.125763739464700
46;61445;0;0;5;5;15;15;3;0;1;1;1;0;0;0;0;0;0;0;0;0;;;333.062087961750420;6650.784178956922000
47;61446;0;0;5;5;15;15;1;1;1;5;1;0;1;0;4;3;1;0;0;0;;;361.354003338385720;8025.352070146545900
48;61447;10;5;5;5;15;15;1;1;1;5;1;5;0;0;4;3;1;0;0;0;;;347.050425179131590;7300.384996970732600
49;61448;18;14;4;5;15;15;1;3;1;5;1;4;0;0;4;3;1;0;0;0;;;341.715079893014660;7265.733339991496900
50;61449;11;4;5;5;15;15;1;3;1;5;1;7;1;0;4;3;1;0;0;0;;;364.869844517217700;8245.622236018078200
51;61450;14;9;5;5;15;15;1;3;1;5;1;5;0;0;4;3;0;0;0;0;;;401.721533742580680;10071.738380601579000
52;61451;16;12;5;5;15;15;1;3;1;5;1;4;0;0;4;5;1;0;0;0;;;375.548869452133200;8722.566358911048200
53;61452;10;9;5;5;15;15;1;3;1;5;1;1;0;0;4;3;1;0;0;0;;;328.853870795125260;6606.868978031157900
54;61453;13;9;5;5;15;15;1;3;1;5;1;4;0;0;3;4;1;0;0;0;;;379.307742467418730;8972.867468481914300
55;61454;20;17;6;5;15;15;1;3;1;5;1;3;0;0;3;3;1;0;0;0;;;360.253947158209480;8099.484347377565400
56;61455;34;16;5;5;15;15;1;3;1;5;1;18;0;0;5;4;1;0;0;0;;;328.155496572745110;6706.852374270820300
57;61456;25;11;5;5;15;15;1;3;1;5;1;14;0;0;5;4;1;0;0;0;;;331.544364201907910;6858.046422230419900
58;61457;27;21;5;5;15;15;1;3;1;5;1;6;0;0;3;4;1;0;0;1;;;330.738608111989610;6821.184351050096700
