SUID,SU_Count,SU_ModCoun,AncientCou,SU_Row,SU_Line,SU_RInt,SU_LInt,SU_LU,SU_AgrCond,SU_Pass,SU_Vis,Strategy,SU_Sample,SU_Diag,SU_Frag,SU_Wear,SU_AC,SU_Daub,SU_HM,SU_Lithic,SU_Date,Shape_Leng,Shape_Area,Area_ha
60000,0,0,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,266.6981644,"4,426.98",0.442698
60001,0,0,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,274.7702461,"4,677.09",0.467708
60002,2,0,2,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,298.8186517,"5,448.48",0.544848
60003,0,0,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,323.2688599,"6,474.09",0.647409
60004,0,0,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,349.4884385,"7,525.56",0.752556
60005,0,0,0,3,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,263.4749983,"3,878.82",0.387882
60006,0,0,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,306.7843651,"5,840.05",0.584005
60007,1,1,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,311.3616395,"5,997.23",0.599723
60008,2,0,2,5,5,15,15,1,2,1,5,1,0,0,0,0,1,0,0,0,20091012,325.8396054,"6,596.19",0.659619
60009,41,41,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,313.86238,"6,072.98",0.607298
60010,0,0,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,285.3257549,"4,883.45",0.488345
60011,0,0,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,305.9368339,"5,666.03",0.566603
60012,0,0,0,3,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,236.5123879,"3,004.90",0.30049
60014,1,0,1,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,265.4792022,"4,407.88",0.440788
60015,0,0,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,315.4774812,"6,125.22",0.612522
60016,1,0,1,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,308.5570864,"5,939.18",0.593918
60017,0,0,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,309.6984611,"5,987.88",0.598788
60018,0,0,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,326.7837542,"6,657.71",0.665771
60019,0,0,0,5,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,322.1661267,"6,451.23",0.645123
60020,0,0,0,2,5,15,15,1,2,1,5,1,0,0,0,0,0,0,0,0,20091012,221.7090703,"2,389.81",0.238981
60021,0,0,0,5,5,20,20,4,2,1,1,2,0,0,0,0,0,0,0,0,20091012,439.5916905,"12,129.83",1.21298
60022,0,0,0,5,5,20,20,4,2,1,1,2,0,0,0,0,0,0,0,0,20091012,440.1514282,"12,038.10",1.20381
60023,0,0,0,5,5,20,20,4,2,1,1,2,0,0,0,0,0,0,0,0,20091012,442.1448592,"11,961.16",1.19612
60024,0,0,0,5,5,20,20,4,2,1,1,2,0,0,0,0,0,0,0,0,20091012,430.8046553,"11,201.28",1.12013
60025,0,0,0,5,5,20,20,4,7,1,1,2,0,0,0,0,0,0,0,0,20091012,415.2605877,"10,678.17",1.06782
60026,0,0,0,5,5,20,20,4,7,1,1,2,0,0,0,0,0,0,0,0,20091012,422.5889817,"11,151.05",1.11511
60027,0,0,0,5,5,20,20,4,7,1,1,2,0,0,0,0,0,0,0,0,20091012,412.6975394,"10,607.37",1.06074
60028,0,0,0,3,5,20,20,4,7,1,1,2,0,0,0,0,0,0,0,0,20091012,312.4799346,"5,363.86",0.536386
60029,0,0,0,5,5,20,20,4,7,1,1,2,0,0,0,0,0,0,0,0,20091012,395.4964171,"9,492.51",0.949251
60030,0,0,0,5,5,20,20,4,7,1,1,2,0,0,0,0,0,0,0,0,20091012,413.564789,"10,441.44",1.04414
60031,0,0,0,4,5,20,20,4,7,1,1,2,0,0,0,0,0,0,0,0,20091012,385.0824366,"9,072.45",0.907245
60032,0,0,0,5,3,20,20,1,7,1,1,2,0,0,0,0,0,0,0,0,20091012,304.2807665,"5,035.15",0.503515
60033,0,0,0,5,3,20,20,1,7,1,1,2,0,0,0,0,0,0,0,0,20091012,331.2748097,"6,590.43",0.659043
60034,0,0,0,4,3,20,20,1,6,1,1,2,0,0,0,0,0,0,0,0,20091012,386.952877,"9,094.64",0.909464
60035,0,0,0,5,5,20,20,1,6,1,1,2,0,0,0,0,0,0,0,0,20091012,321.4488724,"6,416.50",0.64165
60036,1,1,0,5,4,20,20,1,6,1,1,2,0,0,0,0,0,0,0,0,20091012,356.2987482,"6,717.29",0.671729
60037,1,0,1,3,4,20,20,1,6,1,1,2,0,0,0,0,0,0,0,0,20091012,323.4281484,"3,990.37",0.399037
60038,0,0,0,5,5,20,20,1,7,1,1,2,0,2,0,0,0,0,0,0,20091012,245.8316524,"3,721.33",0.372133
60039,4,4,0,5,5,15,15,1,6,1,4,1,0,0,0,0,0,0,0,0,20091013,307.2218744,"5,808.35",0.580835
60040,4,4,0,5,5,15,15,1,6,1,4,1,0,0,0,0,0,0,0,0,20091013,339.1280042,"7,050.65",0.705065
60041,1,1,0,5,5,15,15,1,6,1,4,1,0,0,0,0,0,0,0,0,20091013,395.121026,"9,504.10",0.95041
60042,4,4,0,5,5,15,15,1,6,1,4,1,0,0,0,0,0,0,0,0,20091013,365.9658903,"8,207.82",0.820782
60043,0,0,0,5,5,15,15,1,6,1,4,1,0,0,0,0,0,0,0,0,20091013,288.7156386,"4,991.67",0.499167
60044,0,0,0,5,5,15,15,1,6,1,4,1,0,0,0,0,0,0,0,0,20091013,340.6593389,"7,155.75",0.715575
60045,0,0,0,5,5,15,15,1,6,1,4,1,0,0,0,0,0,0,0,0,20091013,349.9573408,"7,601.67",0.760167
60046,0,0,0,5,5,15,15,1,6,1,4,1,0,0,0,0,0,0,0,0,20091013,369.7100906,"8,495.05",0.849505
60047,0,0,0,5,5,15,15,1,6,1,4,1,0,0,0,0,0,0,0,0,20091013,394.9739971,"9,744.76",0.974476
60048,0,0,0,5,5,15,15,1,6,1,4,1,0,0,0,0,0,0,0,0,20091013,398.1601563,"9,896.48",0.989648
