SUID,SU_Count,SU_ModCount,AncientCount,SU_Row,SU_Line,SU_RInt,SU_Lint,SU_LU,SU_AgrCond,SU_Vis,SU_Pass,Strategy,SU_Sample,SU_Diag,SU_Frag,SU_Wear,SU_AC,SU_HM,SU_Daub,SU_Lithic,SU_Date,Shape_Length,Shape_Area,Area_ha
10001,37,37,0,5,6,10,15,1,2,5,1,1,1,4,0,0,0,0,0,0,20090304,251.2788605,"3,474.52",0.3474516
10002,14,14,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,272.9221456,"4,484.49",0.4484492
10003,3,3,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,293.7026934,"5,294.59",0.5294592
10004,1,1,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,294.8027563,"5,277.18",0.5277177
10005,0,0,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,296.4990535,"5,186.35",0.518635
10006,1,1,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,310.0366074,"5,533.65",0.5533654
10007,4,4,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,335.9673374,"6,812.24",0.6812238
10008,1,1,0,5,6,10,15,1,2,5,1,1,1,1,0,0,0,0,0,0,20090304,383.7945965,"9,035.16",0.9035161
10009,0,0,0,5,6,10,15,1,2,3,1,1,0,0,0,0,0,0,0,0,20090304,312.4212877,"6,050.76",0.6050763
10010,7,7,0,5,6,10,15,1,2,3,1,1,0,0,0,0,0,0,0,0,20090304,310.3989616,"5,965.84",0.5965841
10011,9,9,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,317.2846739,"6,281.59",0.6281589
10012,3,3,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,344.7073242,"7,470.44",0.7470441
10013,8,8,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,361.1005767,"8,130.73",0.8130729
10014,1,1,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,328.5646798,"6,560.21",0.6560205
10015,2,2,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,327.4836408,"6,563.96",0.6563962
10016,2,2,0,5,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,302.1156577,"5,679.48",0.567948
10017,2,2,0,2,6,10,15,1,2,5,1,1,0,0,0,0,0,0,0,0,20090304,213.8056962,"2,167.96",0.2167961
10018,1,1,0,5,5,10,10,1,8,2,1,1,0,0,0,0,1,0,0,0,20090306,246.1664092,"3,734.48",0.3734481
10019,0,0,0,3,5,10,10,1,8,2,1,1,0,0,0,0,0,0,0,0,20090306,242.8083075,"3,561.76",0.3561765
10020,0,0,0,5,5,10,10,1,8,2,1,1,0,0,0,0,0,0,0,0,20090306,240.5945488,"3,601.15",0.3601154
10021,0,0,0,5,5,10,10,1,8,2,1,1,0,0,0,0,0,0,0,0,20090306,266.5104501,"4,367.66",0.4367656
10022,0,0,0,2,5,15,15,1,8,2,1,1,0,0,0,0,0,0,0,0,20090306,210.3362829,"2,408.80",0.2408797
10023,2,2,0,5,5,10,10,1,8,1,1,1,0,0,0,0,1,0,0,0,20090306,253.2411037,"3,939.72",0.3939719
10024,0,0,0,5,5,10,10,1,8,1,1,1,0,0,0,0,0,0,0,0,20090306,239.5116814,"3,581.25",0.3581251
10025,0,0,0,2,5,10,10,1,8,1,1,1,0,0,0,0,0,0,0,0,20090306,217.1819333,"2,927.79",0.2927791
10026,0,0,0,5,5,15,15,1,8,1,1,1,0,0,0,0,0,0,0,0,20090306,325.7976035,"5,312.48",0.5312483
10027,0,0,0,5,5,15,15,1,8,1,1,1,0,0,0,5,0,0,0,0,20090306,306.5002319,"5,861.32",0.5861324
10028,0,0,0,5,5,15,15,1,8,1,1,1,0,0,0,0,0,0,0,0,20090306,277.4796018,"4,768.57",0.4768567
10029,0,0,0,5,5,15,15,1,8,3,1,1,0,0,0,0,0,0,0,0,20090306,324.4148035,"6,412.05",0.641205
10030,0,0,0,5,5,15,15,1,8,3,1,1,0,0,0,0,0,0,0,0,20090306,349.422508,"7,616.86",0.7616856
10031,0,0,0,5,5,10,10,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,351.9329118,"7,721.96",0.7721961
10032,1,1,0,5,5,10,10,3,8,5,1,1,0,0,0,0,0,0,0,0,20090306,512.2142867,"15,081.66",1.5081658
10033,0,0,0,3,2,10,10,3,8,5,1,1,0,0,0,0,0,0,0,0,20090306,173.8068543,"1,559.33",0.1559328
10034,0,0,0,4,2,15,15,3,8,5,1,1,0,0,0,0,0,0,0,0,20090306,218.6995911,"2,378.46",0.2378462
10035,0,0,0,5,2,10,10,3,8,5,1,1,0,0,0,0,0,0,0,0,20090306,268.4416361,"2,898.64",0.2898638
10036,2,2,0,5,5,15,15,3,8,5,1,1,0,0,0,0,0,0,0,0,20090306,346.5231535,"7,341.06",0.7341059
10037,0,0,0,5,5,15,15,3,8,1,1,1,0,0,0,0,0,0,0,0,20090306,298.0951647,"5,540.15",0.5540146
10038,2,2,0,5,5,15,15,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,291.7764351,"5,205.59",0.5205587
10039,0,0,0,5,5,10,10,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,318.4639852,"6,237.14",0.6237139
10040,1,1,0,5,5,10,10,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,332.8017131,"6,901.79",0.6901792
10041,3,3,0,5,5,10,10,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,323.5954366,"6,433.06",0.6433058
10042,10,10,0,6,4,15,15,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,307.5197154,"4,922.22",0.492222
10043,0,0,0,5,5,10,10,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,445.9432321,"10,867.38",1.0867376
10044,1,1,0,5,5,10,10,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,363.4523094,"8,180.77",0.8180768
10045,0,0,0,5,5,10,10,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,376.7428164,"8,591.60",0.8591601
10046,0,0,0,5,5,15,15,3,8,1,1,1,0,0,0,0,0,0,0,0,20090306,359.3325003,"7,925.06",0.7925059
10047,2,2,0,5,5,15,15,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,386.0725293,"8,842.82",0.884282
10048,0,0,0,5,3,10,10,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,298.0346114,"4,548.73",0.4548731
10049,0,0,0,5,5,10,10,3,8,4,1,1,0,0,0,0,0,0,0,0,20090306,309.3363058,"5,925.12",0.592512
10050,0,0,0,5,5,15,15,3,8,5,1,1,0,0,0,0,0,0,0,0,20090306,363.743573,"8,016.64",0.8016643
10051,0,0,0,5,5,10,10,3,8,2,1,1,0,0,0,0,0,0,0,0,20090306,343.0368473,"7,306.74",0.7306737
10052,0,0,0,5,5,10,10,3,8,3,1,1,0,0,0,0,0,0,0,0,20090306,279.1077556,"4,840.00",0.4839997
10053,0,0,0,2,5,10,10,3,8,3,1,1,0,0,0,0,0,0,0,0,20090306,182.6873396,"1,584.12",0.1584121
10054,0,0,0,5,2,5,10,3,8,1,1,1,0,0,0,0,0,0,0,0,20090307,87.18513152,421.9460602,0.0421946
10055,0,0,0,6,2,10,10,3,8,1,1,1,0,0,0,0,0,0,0,0,20090307,109.903987,579.5882519,0.0579588
10056,0,0,0,5,2,10,10,3,8,1,1,1,0,0,0,0,0,0,0,0,20090307,147.8369664,983.955531,0.0983956
10057,0,0,0,5,2,10,10,3,8,1,1,1,0,0,0,0,0,0,0,0,20090307,154.6634276,926.856354,0.0926856
10058,17,17,0,5,2,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,147.8078892,"1,067.33",0.1067331
10059,3,3,0,5,2,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,71.81365041,294.5419978,0.0294542
10060,14,14,0,5,2,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,124.7865519,829.0226215,0.0829023
10061,12,12,0,5,2,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,97.48986027,569.5107177,0.0569511
10062,9,9,0,5,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,158.353243,"1,397.56",0.1397559
10063,13,13,0,5,3,10,10,3,8,2,1,1,0,0,0,0,0,0,0,0,20090307,149.9804976,"1,219.27",0.1219266
10064,4,4,0,5,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,140.0689608,"1,049.65",0.104965
10065,19,19,0,5,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,150.781539,"1,346.20",0.1346198
10066,18,18,0,5,3,10,10,3,8,2,1,1,1,0,0,0,1,0,0,0,20090307,184.245075,"2,003.60",0.2003599
10067,14,14,0,4,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,158.8978304,"1,574.74",0.1574738
10068,16,16,0,5,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,185.5409013,"2,049.82",0.2049825
10069,30,30,0,5,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,181.0439416,"1,969.46",0.1969457
10070,4,4,0,3,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,123.8368315,938.1349693,0.0938135
10071,10,10,0,5,3,10,10,3,8,2,1,1,1,0,0,0,1,0,0,0,20090307,164.4228768,"1,509.90",0.1509902
10072,22,22,0,5,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,161.9324447,"1,515.97",0.1515969
10073,29,29,0,5,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,163.5979557,"1,584.16",0.158416
10074,13,13,0,3,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,145.006085,"1,266.71",0.1266709
10075,22,22,0,5,3,15,15,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,277.0774127,"4,342.53",0.434253
10076,24,24,0,5,3,15,15,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,255.2146296,"3,862.10",0.3862099
10077,5,5,0,5,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,188.8908049,"2,273.68",0.2273678
10078,18,18,0,5,3,15,15,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,221.5847391,"2,766.72",0.276672
10079,14,14,0,5,3,10,10,3,8,2,1,1,0,0,0,0,1,0,0,0,20090307,235.9536747,"3,319.15",0.3319151
10080,1,1,0,5,3,15,15,3,8,1,1,1,0,0,0,0,0,0,0,0,20090307,247.2751411,"3,393.95",0.3393955
10081,3,3,0,6,3,10,10,3,8,1,1,1,0,0,0,0,0,0,0,0,20090307,258.4643945,"3,740.37",0.3740371
10082,4,4,0,5,3,15,15,3,8,1,1,1,0,0,0,0,0,0,0,0,20090307,265.0418542,"4,324.07",0.4324065
10083,2,2,0,2,3,10,10,3,8,1,1,1,0,0,0,0,0,0,0,0,20090307,213.7546753,"2,389.65",0.2389649
10084,5,5,0,6,3,10,10,3,8,1,1,1,0,0,0,0,1,0,0,0,20090307,251.418429,"3,456.03",0.3456033
10085,3,3,0,3,3,10,10,3,8,1,1,1,0,0,0,0,1,0,0,0,20090307,204.724672,"2,446.98",0.2446976
10086,4,4,0,5,3,15,15,3,8,1,1,1,0,0,0,0,1,0,0,0,20090307,207.1352128,"2,276.43",0.2276431
10087,2,2,0,2,3,15,15,2,1,1,3,1,0,0,0,0,1,0,0,0,20090308,142.4942175,"1,254.85",0.1254854
10088,5,5,0,3,5,10,10,2,1,5,3,1,0,0,0,0,1,0,0,0,20090308,186.1628133,"1,959.02",0.1959023
10089,28,28,0,5,5,10,10,2,1,5,3,1,0,0,0,0,1,0,0,0,20090308,276.1151164,"3,816.38",0.3816379
10090,4,4,0,5,5,10,10,2,1,5,3,1,0,0,0,0,1,0,0,0,20090308,213.5645588,"2,698.19",0.2698186
10091,6,6,0,2,5,10,10,2,1,5,3,1,0,0,0,0,1,0,0,0,20090308,129.1164533,"1,007.14",0.1007136
10092,42,42,0,5,5,10,10,2,1,5,3,1,0,0,0,0,1,0,0,0,20090308,201.0604373,"2,501.29",0.2501287
10093,11,11,0,3,5,10,10,2,1,5,3,1,0,0,0,0,1,0,0,0,20090308,155.0131747,"1,478.76",0.1478763
10094,11,11,0,5,5,10,10,2,1,5,3,1,0,0,0,0,1,0,0,0,20090308,241.5162031,"3,631.33",0.3631333
10095,2,2,0,2,5,10,10,2,1,5,3,1,0,0,0,0,1,0,0,0,20090308,155.1103011,"1,273.74",0.1273744
10096,11,11,0,5,5,10,10,2,1,5,3,1,0,0,0,0,1,0,0,0,20090308,182.4658796,"2,066.17",0.2066166
10097,22,22,0,3,5,10,10,2,1,5,3,1,0,0,0,0,1,0,0,0,20090308,160.0139711,"1,582.25",0.1582253
10098,12,12,0,5,5,10,10,3,8,3,1,1,0,0,0,0,1,0,0,0,20090308,247.7175581,"3,757.18",0.3757182
10099,18,18,0,5,5,10,10,3,8,3,1,1,0,0,0,0,1,0,0,0,20090308,258.225495,"4,134.83",0.4134831
10100,33,33,0,5,5,15,15,3,8,3,1,1,0,0,0,0,1,0,0,0,20090308,347.5695502,"7,525.22",0.7525215
10101,15,15,0,5,5,15,15,3,8,3,1,1,0,0,0,0,1,0,0,0,20090308,336.2518615,"7,052.99",0.7052993
10102,9,0,9,5,5,15,15,3,8,3,1,1,0,0,0,0,1,0,0,0,20090308,341.3536539,"7,280.09",0.7280093
10103,5,0,5,5,5,10,10,3,8,3,1,1,0,0,0,0,1,0,0,0,20090308,347.6767636,"7,460.78",0.7460778
10104,218,0,218,5,5,5,5,3,8,2,1,0,0,15,0,0,1,0,0,0,20090308,127.0713622,876.2294775,0.0876229
10105,117,0,117,5,5,5,5,4,8,2,1,0,0,0,0,0,1,0,0,0,20090308,121.6803399,918.1328321,0.0918133
10106,190,0,190,5,5,5,5,4,8,2,1,0,0,5,0,0,1,0,0,0,20090308,109.1812501,732.632534,0.0732633
10107,167,0,167,5,5,5,5,4,8,2,1,0,0,0,0,0,1,0,0,0,20090308,107.1350907,661.4974121,0.0661497
10108,175,0,175,5,5,5,5,4,8,2,1,0,0,0,0,0,1,0,0,1,20090308,91.48733111,496.7768704,0.0496777
10109,176,0,176,5,5,5,5,4,8,2,1,0,1,2,0,0,1,0,0,0,20090308,90.5684793,472.587709,0.0472588
10110,231,1,230,5,5,5,5,4,8,2,1,0,0,3,0,0,1,0,0,0,20090308,88.1417662,436.2755343,0.0436276
10111,196,0,196,5,5,5,5,4,8,2,1,0,0,1,0,0,1,0,0,0,20090308,99.66010471,615.0859102,0.0615086
10112,199,1,198,5,5,5,5,4,8,2,1,0,0,4,0,0,1,0,0,0,20090308,84.3166203,351.1475017,0.0351148
10113,86,0,86,5,5,5,5,4,8,2,1,0,0,0,0,0,1,0,0,0,20090308,103.7426499,651.4080717,0.0698595
10114,92,0,92,5,5,5,5,4,8,1,1,0,0,1,0,0,1,0,0,0,20090308,124.030565,929.2673903,0.0929267
10115,20,0,20,5,5,5,5,4,8,1,1,0,0,2,0,0,1,0,0,0,20090308,114.228872,761.0172565,0.0761017
10116,13,0,13,5,5,5,5,4,8,1,1,0,0,0,0,0,1,0,0,0,20090308,121.6904665,874.4360516,0.0874436
10117,10,0,10,5,5,5,5,4,8,1,1,0,0,0,0,0,1,0,0,0,20090308,116.155048,777.8570488,0.0777857
10118,14,0,14,5,5,5,5,4,8,1,1,0,0,0,0,0,1,0,0,0,20090308,116.4543308,787.8048554,0.0787805
10119,13,0,13,5,5,5,5,4,8,1,1,0,0,0,0,0,1,0,0,1,20090308,104.0036884,663.970929,0.0663971
10120,6,0,6,5,5,5,5,4,8,1,1,0,1,0,0,0,1,0,0,0,20090308,128.6442728,"1,015.74",0.1015743
10121,45,0,45,5,5,5,5,4,8,1,1,0,0,0,0,0,1,0,0,0,20090308,127.9137956,"1,012.88",0.1012877
10122,38,0,38,5,5,5,5,4,8,1,1,0,0,0,0,0,0,0,0,0,20090308,133.1375258,"1,071.94",0.107194
10123,7,7,0,5,5,10,10,1,1,5,1,1,0,0,0,0,1,0,0,0,20090308,0,0,0
10124,40,18,22,5,5,10,10,3,8,3,1,1,0,13,0,0,1,0,0,0,20090309,211.216785,"2,718.09",0.2718088
10125,16,13,3,5,5,10,10,3,8,3,1,1,0,5,0,0,1,0,0,0,20090309,218.5062141,"2,835.76",0.2835761
10126,33,19,14,5,5,10,10,3,8,3,1,1,0,2,0,0,1,0,0,0,20090309,208.7461363,"2,584.78",0.258478
10127,45,23,22,5,5,10,10,3,8,3,1,1,0,3,0,0,1,0,0,0,20090309,240.8673779,"3,529.50",0.35295
10128,23,15,8,5,5,10,10,3,8,3,1,1,0,1,0,0,1,0,0,0,20090309,225.6320549,"3,171.70",0.3171695
10129,13,3,10,5,5,10,10,3,8,4,1,1,0,0,0,0,1,0,0,0,20090309,205.7535836,"2,620.20",0.2620204
10130,15,9,6,5,5,10,10,3,8,4,1,1,0,0,0,0,1,0,0,0,20090309,221.8313648,"2,939.99",0.2939989
10131,17,14,3,5,5,10,10,3,8,4,1,1,0,0,0,0,1,0,0,0,20090309,207.5341743,"2,607.21",0.2607206
10132,6,6,0,5,5,10,10,3,8,4,1,1,0,0,0,0,1,0,0,0,20090309,211.3721547,"2,766.46",0.2766455
10133,5,3,2,5,5,10,10,3,8,4,1,1,0,0,0,0,1,0,0,0,20090309,202.4117804,"2,556.36",0.2556361
10134,4,3,1,5,5,10,10,3,8,4,1,1,0,0,0,0,0,0,0,0,20090309,214.8124353,"2,861.92",0.2861918
10135,13,12,1,5,5,10,10,3,8,4,1,1,0,0,0,0,1,0,0,0,20090309,238.1571956,"3,522.42",0.3522416
